1,amartinez,0,Skin 1,Salt water,Small tank,1,New York 
2,abusheska,1,Skin 4,Salt water,Big tank,0,Pennsylvania
3,kkoyasu,0,Skin 3,Fresh water,Small tank,1,Japan
4,jpffafman ,0,Skin 1,Salt water,Big tank,0,Pennsylvania
5,nkurdy,0,Skin 2,Fresh water,Small tank,1,Albania
6,cperez,1,Skin 2,Fresh water,Small tank,1,Dominican Republic
7,hmoralez,1,Skin 1,Fresh water,Small tank,0,Texas
8,jchamorro,1,Skin 4,Salt water,Big tank,1,New York
9,banaya,0,Skin 1,Salt water,Small tank,0,New York
10,ashea,1,Skin 3,Fresh water,Small tank,0,Pennsylvania
